country,area,code,density,"median_age","population_2019","population_2020","urban_percentage"
Afghanistan,652860,4,60,18,"38041.76","38928.34",25
Albania,27400,8,105,36,"2880.91","2877.80",63
Algeria,2381740,12,18,29,"43053.05","43851.04",73
"American Samoa",200,16,276,,"55.31","55.20",88
Andorra,470,20,164,,"77.15","77.27",88
Angola,1246700,24,26,17,"31825.30","32866.27",67
Anguilla,90,660,167,,"14.87","15.00",
"Antigua and Barbuda",440,28,223,34,"97.12","97.93",26
Argentina,2736690,32,17,32,"44780.68","45195.78",93
Armenia,28470,51,104,35,"2957.73","2963.23",63
Aruba,180,533,593,41,"106.31","106.77",44
Australia,7682300,36,3,38,"25203.20","25499.88",86
Austria,82409,40,109,43,"8955.11","9006.40",57
Azerbaijan,82658,31,123,32,"10047.72","10139.18",56
Bahamas,10010,44,39,32,"389.49","393.25",86
Bahrain,760,48,"2,239",32,"1641.16","1701.58",89
Bangladesh,130170,50,"1,265",28,"163046.17","164689.38",39
Barbados,430,52,668,40,"287.02","287.37",31
Belarus,202910,112,47,40,"9452.41","9449.32",79
Belgium,30280,56,383,42,"11539.33","11589.62",98
Belize,22810,84,17,25,"390.35","397.62",46
Benin,112760,204,108,19,"11801.15","12123.20",48
Bermuda,50,60,"1,246",,"62.51","62.27",97
Bhutan,38117,64,20,28,"763.09","771.61",46
Bolivia,1083300,68,11,26,"11513.10","11673.03",69
"Bonaire, Sint Eustatius and Saba",,535,,,"25.98","26.22",
"Bosnia and Herzegovina",51000,70,64,43,"3301.00","3280.82",52
Botswana,566730,72,4,24,"2303.70","2351.63",73
Brazil,8358140,76,25,33,"211049.52","212559.41",88
"British Virgin Islands",150,92,202,,"30.03","30.24",52
Brunei,5270,96,83,32,"433.30","437.48",80
Bulgaria,108560,100,64,45,"7000.12","6948.45",76
"Burkina Faso",273600,854,76,18,"20321.38","20903.28",31
Burundi,25680,108,463,17,"11530.58","11890.78",14
"CENTRAL AND SOUTHERN ASIA",,921,,,"1991423.51","2014708.53",
"Cabo Verde",4030,132,138,28,"549.94","555.99",68
Cambodia,176520,116,95,26,"16486.54","16718.97",24
Cameroon,472710,120,56,19,"25876.39","26545.86",56
Canada,9093510,124,4,41,"37411.04","37742.16",81
Caribbean,,915,,,"43335.01","43532.37",
"Caribbean Netherlands",328,,80,,,,75
"Cayman Islands",240,136,274,,"64.95","65.72",97
"Central African Republic",622980,140,8,18,"4745.18","4829.76",43
"Central America",,916,,,"177586.53","179670.19",
"Central Asia",,5500,,,"73212.11","74338.93",
Chad,1259200,148,13,17,"15946.88","16425.86",23
"Channel Islands",190,830,915,43,"172.26","173.86",30
Chile,743532,152,26,35,"18952.04","19116.21",85
China,9388211,156,153,38,"1433783.69","1439323.77",61
Colombia,1109500,170,46,31,"50339.44","50882.88",80
Comoros,1861,174,467,20,"850.89","869.60",29
Congo,341500,178,16,19,"5380.50","5518.09",70
"Cook Islands",240,184,73,,"17.55","17.56",75
"Costa Rica",51060,188,100,33,"5047.56","5094.11",80
Croatia,55960,191,73,44,"4130.30","4105.27",58
Cuba,106440,192,106,42,"11333.48","11326.62",78
"Curaçao",444,531,370,42,"163.42","164.10",89
Cyprus,9240,196,131,37,"1198.57","1207.36",67
Czechia,77240,203,139,43,"10689.21","10708.98",74
"Côte d'Ivoire",318000,384,83,19,"25716.55","26378.28",51
"Democratic Republic of the Congo",2267050,180,40,17,"86790.57","89561.40",46
Denmark,42430,208,137,42,"5771.88","5792.20",88
Djibouti,23180,262,43,27,"973.56","988.00",79
Dominica,750,212,96,,"71.81","71.99",74
"Dominican Republic",48320,214,225,28,"10738.96","10847.90",85
"EASTERN AND SOUTH-EASTERN ASIA",,1832,,,"2334622.97","2346709.48",
EUROPE,,917,,,"747182.82","747636.05",
"EUROPE AND NORTHERN AMERICA",,1829,,,"1113783.76","1116505.69",
"Eastern Asia",,906,,,"1672611.12","1678089.63",
"Eastern Europe",,923,,,"293444.92","293013.21",
Ecuador,248360,218,71,28,"17373.66","17643.06",63
Egypt,995450,818,103,25,"100388.08","102334.40",43
"El Salvador",20720,222,313,28,"6453.55","6486.20",73
"Equatorial Guinea",28050,226,50,22,"1355.98","1402.99",73
Eritrea,101000,232,35,19,"3497.12","3546.43",63
Estonia,42390,233,31,42,"1325.65","1326.54",68
Eswatini,17200,748,67,21,"1148.13","1160.16",30
Ethiopia,1000000,231,115,19,"112078.73","114963.58",21
"Faeroe Islands",1396,234,35,,"48.68","48.87",43
"Falkland Islands",12170,238,0,,"3.37","3.48",66
Fiji,18270,242,49,28,"889.96","896.44",59
Finland,303890,246,18,43,"5532.16","5540.72",86
France,547557,250,119,42,"65129.73","65273.51",82
"French Guiana",82200,254,4,25,"290.82","298.68",87
"French Polynesia",3660,258,77,34,"279.29","280.90",64
Gabon,257670,266,9,23,"2172.58","2225.73",87
Gambia,10120,270,239,18,"2347.70","2416.66",59
Georgia,69490,268,57,38,"3996.76","3989.18",58
Germany,348560,276,240,46,"83517.05","83783.95",76
Ghana,227540,288,137,22,"30417.86","31072.95",57
Gibraltar,10,292,"3,369",,"33.71","33.69",
Greece,128900,300,81,46,"10473.45","10423.06",85
Greenland,410450,304,0,,"56.66","56.77",87
Grenada,340,308,331,32,"112.00","112.52",35
Guadeloupe,1690,312,237,44,"400.05","400.13",
Guam,540,316,313,31,"167.30","168.78",95
Guatemala,107160,320,167,23,"17581.48","17915.57",52
Guinea,245720,324,53,18,"12771.25","13132.79",39
"Guinea-Bissau",28120,624,70,19,"1920.92","1968.00",45
Guyana,196850,328,4,27,"782.78","786.56",27
Haiti,27560,332,414,24,"11263.08","11402.53",57
"Holy See",0,336,"2,003",,"0.82","0.81",
Honduras,111890,340,89,24,"9746.12","9904.61",57
"Hong Kong",1050,344,"7,140",45,"7436.16","7496.99",
Hungary,90530,348,107,43,"9684.68","9660.35",72
Iceland,100250,352,3,37,"339.04","341.25",94
India,2973190,356,464,28,"1366417.76","1380004.39",35
Indonesia,1811570,360,151,30,"270625.57","273523.62",56
Iran,1628550,364,52,32,"82913.89","83992.95",76
Iraq,434320,368,93,21,"39309.79","40222.50",73
Ireland,68890,372,72,38,"4882.50","4937.80",63
"Isle of Man",570,833,149,,"84.59","85.03",53
Israel,21640,376,400,30,"8519.37","8655.54",93
Italy,294140,380,206,47,"60550.09","60461.83",69
Jamaica,10830,388,273,31,"2948.28","2961.16",55
Japan,364555,392,347,48,"126860.30","126476.46",92
Jordan,88780,400,115,24,"10101.70","10203.14",91
Kazakhstan,2699700,398,7,31,"18551.43","18776.71",58
Kenya,569140,404,94,20,"52573.97","53771.30",28
Kiribati,810,296,147,23,"117.61","119.45",57
Kuwait,17820,414,240,37,"4207.08","4270.56",
Kyrgyzstan,191800,417,34,26,"6415.85","6524.19",36
"LATIN AMERICA AND THE CARIBBEAN",,1830,,,"648120.96","653962.33",
Laos,230800,418,32,24,"7169.46","7275.56",36
Latvia,62200,428,30,44,"1906.74","1886.20",69
Lebanon,10230,422,667,30,"6855.71","6825.44",78
Lesotho,30360,426,71,24,"2125.27","2142.25",31
Liberia,96320,430,53,19,"4937.37","5057.68",53
Libya,1759540,434,4,29,"6777.45","6871.29",78
Liechtenstein,160,438,238,,"38.02","38.14",15
Lithuania,62674,440,43,45,"2759.63","2722.29",71
Luxembourg,2590,442,242,40,"615.73","625.98",88
Macao,30,446,"21,645",39,"640.45","649.34",
Madagascar,581795,450,48,20,"26969.31","27691.02",39
Malawi,94280,454,203,18,"18628.75","19129.96",18
Malaysia,328550,458,99,30,"31949.79","32366.00",78
Maldives,300,462,"1,802",30,"530.96","540.54",35
Mali,1220190,466,17,16,"19658.02","20250.83",44
Malta,320,470,"1,380",43,"440.38","441.54",93
"Marshall Islands",180,584,329,,"58.79","59.19",70
Martinique,1060,474,354,47,"375.56","375.27",92
Mauritania,1030700,478,5,20,"4525.70","4649.66",57
Mauritius,2030,480,626,37,"1269.67","1271.77",41
Mayotte,375,175,728,20,"266.15","272.81",46
Melanesia,,928,,,"10918.53","11122.99",
Mexico,1943950,484,66,29,"127575.53","128932.75",84
Micronesia,700,954,164,24,"543.48","548.93",21
"Micronesia (Fed. States of)",,583,,,"113.81","115.02",
Moldova,32850,498,123,38,"4043.26","4033.96",43
Monaco,1,492,"26,337",,"38.97","39.24",
Mongolia,1553560,496,2,28,"3225.17","3278.29",67
Montenegro,13450,499,47,39,"627.99","628.06",68
Montserrat,100,500,50,,"4.99","5.00",10
Morocco,446300,504,83,30,"36471.77","36910.56",64
Mozambique,786380,508,40,18,"30366.04","31255.44",38
Myanmar,653290,104,83,29,"54045.42","54409.79",31
"NORTHERN AFRICA AND WESTERN ASIA",,1833,,,"517105.56","525869.28",
"NORTHERN AMERICA",,918,,,"366600.94","368869.64",
Namibia,823290,516,3,22,"2494.52","2540.92",55
Nauru,20,520,541,,"10.76","10.83",
Nepal,143350,524,203,25,"28608.72","29136.81",21
Netherlands,33720,528,508,43,"17097.12","17134.87",92
"New Caledonia",18280,540,16,34,"282.76","285.49",72
"New Zealand",263310,554,18,38,"4783.06","4822.23",87
Nicaragua,120340,558,55,26,"6545.50","6624.55",57
Niger,1266700,562,19,15,"23310.72","24206.64",17
Nigeria,910770,566,226,18,"200963.60","206139.59",52
Niue,260,570,6,,"1.61","1.62",46
"North Korea",120410,408,214,35,"25666.16","25778.82",63
"North Macedonia",25220,807,83,39,"2083.46","2083.38",59
"Northern Africa",,912,,,"241780.77","246232.51",
"Northern Europe",,924,,,"105768.53","106261.27",
"Northern Mariana Islands",460,580,125,,"57.21","57.56",88
Norway,365268,578,15,40,"5378.86","5421.24",83
"OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND)",,1835,,,"12141.79","12355.70",
Oman,309500,512,16,31,"4974.99","5106.62",87
Pakistan,770880,586,287,23,"216565.32","220892.33",35
Palau,460,585,39,,"18.00","18.09",
Panama,74340,591,58,30,"4246.44","4314.77",68
"Papua New Guinea",452860,598,20,22,"8776.12","8947.03",13
Paraguay,397300,600,18,26,"7044.64","7132.53",62
Peru,1280000,604,26,31,"32510.46","32971.85",79
Philippines,298170,608,368,26,"108116.62","109581.09",47
Poland,306230,616,124,42,"37887.77","37846.61",60
Polynesia,,957,,,"679.77","683.78",
Portugal,91590,620,111,46,"10226.18","10196.71",66
"Puerto Rico",8870,630,323,44,"2933.40","2860.84",
Qatar,11610,634,248,32,"2832.07","2881.06",96
Romania,230170,642,84,43,"19364.56","19237.68",55
"Russian Federation",16376870,643,9,40,"145872.26","145934.46",74
Rwanda,24670,646,525,20,"12626.94","12952.21",18
"Réunion",2500,638,358,36,"888.93","895.31",100
"Saint Barthelemy",21,652,470,,"9.85","9.89",0
"Saint Helena",390,654,16,,"6.06","6.07",27
"Saint Kitts & Nevis",260,659,205,,"52.83","53.19",33
"Saint Lucia",610,662,301,34,"182.80","183.63",19
"Saint Martin",53,663,730,,"38.00","38.66",0
"Saint Pierre & Miquelon",230,666,25,,"5.82","5.80",100
Samoa,2830,882,70,22,"197.09","198.41",18
"San Marino",60,674,566,,"33.86","33.94",97
"Sao Tome & Principe",960,678,228,19,"215.05","219.16",74
"Saudi Arabia",2149690,682,16,32,"34268.53","34813.87",84
Senegal,192530,686,87,19,"16296.36","16743.93",49
Serbia,87460,688,100,42,"8772.23","8737.37",56
Seychelles,460,690,214,34,"97.74","98.34",56
"Sierra Leone",72180,694,111,19,"7813.21","7976.99",43
Singapore,700,702,"8,358",42,"5804.34","5850.34",
"Sint Maarten",34,534,"1,261",,"42.39","42.88",96
Slovakia,48088,703,114,41,"5457.01","5459.64",54
Slovenia,20140,705,103,45,"2078.65","2078.93",55
"Solomon Islands",27990,90,25,20,"669.82","686.88",23
Somalia,627340,706,25,17,"15442.91","15893.22",47
"South Africa",1213090,710,49,28,"58558.27","59308.69",67
"South Korea",97230,410,527,44,"51225.32","51269.18",82
"South Sudan",610952,728,18,19,"11062.11","11193.73",25
"South-Eastern Asia",,920,,,"662011.85","668619.85",
"Southern Africa",,913,,,"66629.89","67503.65",
Spain,498800,724,94,45,"46736.78","46754.78",80
"Sri Lanka",62710,144,341,34,"21323.73","21413.25",18
"St. Vincent & the Grenadines",390,670,284,33,"110.59","110.95",53
"State of Palestine",6020,275,847,21,"4981.42","5101.42",80
Sudan,1765048,729,25,20,"42813.24","43849.27",35
Suriname,156000,740,4,29,"581.36","586.63",65
Sweden,410340,752,25,41,"10036.39","10099.27",88
Switzerland,39516,756,219,43,"8591.36","8654.62",74
Syria,183630,760,95,26,"17070.13","17500.66",60
Taiwan,35410,158,673,42,"23773.88","23816.78",79
Tajikistan,139960,762,68,22,"9321.02","9537.64",27
Tanzania,885800,834,67,18,"58005.46","59734.21",37
Thailand,510890,764,137,40,"69625.58","69799.98",51
"Timor-Leste",14870,626,89,21,"1293.12","1318.44",33
Togo,54390,768,152,19,"8082.36","8278.74",43
Tokelau,10,772,136,,"1.33","1.35",0
Tonga,720,776,147,22,"104.50","105.70",24
"Trinidad and Tobago",5130,780,273,36,"1394.97","1399.49",52
Tunisia,155360,788,76,33,"11694.72","11818.62",70
Turkey,769630,792,110,32,"83429.61","84339.07",76
Turkmenistan,469930,795,13,27,"5942.09","6031.19",53
"Turks and Caicos",950,796,41,,"38.19","38.72",89
Tuvalu,30,798,393,,"11.66","11.79",62
US,9147420,840,36,38,"329064.92","331002.65",83
Uganda,199810,800,229,17,"44269.59","45741.00",26
Ukraine,579320,804,75,41,"43993.64","43733.76",69
"United Arab Emirates",83600,784,118,33,"9770.53","9890.40",86
"United Kingdom",241930,826,281,40,"67530.16","67886.00",83
"United States Virgin Islands",350,850,298,43,"104.58","104.42",96
Uruguay,175020,858,20,36,"3461.73","3473.73",96
Uzbekistan,425400,860,79,28,"32981.72","33469.20",50
Vanuatu,12190,548,25,21,"299.88","307.15",24
Venezuela,882050,862,32,30,"28515.83","28435.94",
Vietnam,310070,704,314,32,"96462.11","97338.58",38
WORLD,,900,,,"7713468.21","7794798.73",
"Wallis & Futuna Islands",140,876,80,,"11.44","11.25",0
"Western Africa",,914,,,"391440.15","401861.26",
"Western Asia",,922,,,"275324.79","279636.77",
"Western Europe",,926,,,"195522.41","196146.32",
"Western Sahara",266000,732,2,28,"582.46","597.33",87
Yemen,527970,887,56,20,"29161.92","29825.97",38
Zambia,743390,894,25,18,"17861.03","18383.96",45
Zimbabwe,386850,716,38,19,"14645.47","14862.93",38
